_id,date,hashtags,location,text,tweet_id,user
60da918c8624c308c41c61ac,20210517,#COVID19,"ROSBÆKSVEJ 17, 2100 KBH Ø","RT @UENOBRASIL: NESSE DIA INTERNACIONAL CONTRA A LGBTIFOBIA, AINDA MAIS EM TEMPOS DE #COVID19, A UE, ESTADOS MEMBROS E PARCEIROS REITERAM O…",89895201431,LV_DENMARK
60da918c8624c308c41c61ad,20210517,#PÁTRIAVACINADA,,RT @CASACIVILBR: #PÁTRIAVACINADA 🇧🇷 | CAMPANHA NACIONAL DE CONSCIENTIZAÇÃO SOBRE MEDIDAS PREVENTIVAS E INCENTIVO À VACINAÇÃO ORIENTA AS FAM…,43896541431,LOURDESMARCHI1
60da918c8624c308c41c61ae,20210517,#TVMIRAMAR#TVDEPRIMEIRA#MOZAMBIQUE#COVID19#PROTEGETE,MOÇAMBIQUE,VAI DAR TUDO CERTO. FAZ A TUA PARTE!   #TVMIRAMAR #TVDEPRIMEIRA #MOZAMBIQUE #COVID19 #PROTEGETE HTTPS://T.CO/1NQENSJFU8,88890661431,MIRAMARTV
60da918c8624c308c41c61af,20210517,#CORONAVIRUS#COVID19,RECIFE,ATUALIZAÇÃO DOS DADOS DO BRASIL. #CORONAVIRUS #COVID19 HTTPS://T.CO/OH2YKDFVU6,89890961431,DADOS_COVID
60da918c8624c308c41c61b0,20210517,#CONGRESSO#CORONAVIRUS#BRAGANETTO#CAMARADOSDEPUTADOS#COMISSAODEFISCALIZACAO,"SÃO PAULO, BRASIL","“NÃO EXISTE POLITIZAÇÃO DAS FORÇAS ARMADAS”, DIZ BRAGA NETTO  HTTPS://T.CO/YLRMKJZDDO #CONGRESSO #CORONAVIRUS #BRAGANETTO #CAMARADOSDEPUTADOS #COMISSAODEFISCALIZACAO",57898361431,GELADOG_
60da918c8624c308c41c61b1,20210517,#TRAVEL#VIAGENS#COVID19#NEWS,"OUARZAZATE, MARROCOS","RT @BLOGTURS: CONFIRA ALGUNS DESTAQUES DO @BLOGTURS DESTA SEMANA, AGORA NA SUA TL !  #TRAVEL #VIAGENS #COVID19 #NEWS 🔗🛫🏨🌐📰 HTTPS://T.CO/SNR…",29890271431,ANARITALEITAO
60da918c8624c308c41c61b2,20210517,#CORONAVIRUS#ECONOMIA#BURGO#COVID19#DELAWARE#FOLLOWTHEMONEY#G,"SÃO PAULO, BRASIL","PFIZER EVITA IMPOSTOS POR MEIO DE SOCIEDADE NA HOLANDA, DIZ REPORTAGEM  HTTPS://T.CO/0C4TROXDUO #CORONAVIRUS #ECONOMIA #BURGO #COVID19 #DELAWARE #FOLLOWTHEMONEY #G",83892671431,GELADOG_
60da918c8624c308c41c61b3,20210517,#CORONAVIRUS#ECONOMIA#BURGO#COVID19#DELAWARE#FOLLOWTHEMONEY,"SÃO PAULO, BRASIL","PFIZER EVITA IMPOSTOS POR MEIO DE SOCIEDADE NA HOLANDA, DIZ REPORTAGEM  HTTPS://T.CO/VPEH8Y1CED #CORONAVIRUS #ECONOMIA #BURGO #COVID19 #DELAWARE #FOLLOWTHEMONEY",81892771431,GELADOG_
60da918c8624c308c41c61b4,20210517,#PFIZER,,RT @CARLOTALLAUGER: SEGUNDA DOSIS DE #PFIZER!!!!,54893181431,VICKYPALMERO1
60da918c8624c308c41c61b5,20210517,#CIENCIA#MEIOAMBIENTE#CRISESANITARIA#COVID19,BRASIL | ELA/DELA/A,DIA 19 (12H ÀS 13:30) TERÁ UMA WEB CONFERÊNCIA PARA DISCUTIR OS IMPACTOS QUE O COVID CAUSA/OU SOBRE OS BRASILEIROS E AS CRISES AMBIENTAIS. TERÁ TRADUÇÃO SIMULTÂNEA. INSCREVA-SE SE ESTIVER INTERESSADO!  #CIENCIA #MEIOAMBIENTE #CRISESANITARIA #COVID19  HTTPS://T.CO/9ILCUDEAXN 👇🏻,15895581431,ANNAKYG
